"Model Rank","Model Index","Model Name","# Parameters","AIC","Delta_AIC","Log-Likelihood"
"01","05","VOD+VARI+NDVI+NIRv+LAI","07",25681.077444566,0,-12833.538722283
"02","08","VOD+VARI+NIRv+LAI","06",25685.4772359817,4.39979141565345,-12836.7386179908
"03","04","VOD+VARI+NDVI+NIRv","06",25860.6456192707,179.568174704673,-12924.3228096353
"04","07","VOD+VARI+NIRv","05",25864.2021999963,183.12475543029,-12927.1010999982
"05","06","VOD+VARI+NDVI+LAI","06",27692.0958907399,2011.01844617391,-13840.04794537
"06","03","VOD+VARI+NDVI","05",28370.299340169,2689.22189560303,-14180.1496700845
"07","09","VOD+VARI+LAI","05",28645.1030991802,2964.02565461416,-14317.5515495901
"08","13","VOD+NDVI+NIRv+LAI","06",29703.3937270954,4022.31628252937,-14845.6968635477
"09","02","VOD+VARI","04",30199.4383663998,4518.3609218338,-15095.7191831999
"10","15","VOD+NIRv+LAI","05",30588.5175479409,4907.44010337492,-15289.2587739705
"11","20","VARI+NDVI+NIRv+LAI","06",33275.4257848116,7594.34834024561,-16631.7128924058
"12","22","VARI+NIRv+LAI","05",33331.494567524,7650.41712295796,-16660.747283762
"13","19","VARI+NDVI+NIRv","05",33491.1533712838,7810.07592671779,-16740.5766856419
"14","21","VARI+NIRv","04",33544.3177649472,7863.24032038121,-16768.1588824736
"15","31","VARI+NDVI+LAI","05",33894.4716156404,8213.39417107442,-16942.2358078202
"16","23","VARI+LAI","04",34009.0855295129,8328.00808494684,-17000.5427647564
"17","18","VARI+NDVI","04",34122.0264025806,8440.94895801454,-17057.0132012903
"18","17","VARI alone","03",34374.8258159298,8693.74837136378,-17184.4129079649
"19","11","VOD+NDVI+NIRv","05",34942.0397741188,9260.9623295528,-17466.0198870594
"20","12","VOD+NDVI+LAI","05",35194.2459529904,9513.16850842436,-17592.1229764952
"21","16","VOD+LAI","04",35334.2371994416,9653.15975487561,-17663.1185997208
"22","26","NDVI+NIRv+LAI","05",36750.9983715016,11069.9209269355,-18370.4991857508
"23","10","VOD+NDVI","04",36856.9953208815,11175.9178763155,-18424.4976604407
"24","14","VOD+NIRv","04",37017.9509135422,11336.8734689761,-18504.9754567711
"25","01","VOD alone","03",37196.9398688877,11515.8624243217,-18595.4699344439
"26","28","NIRv+LAI","04",37892.6346500615,12211.5572054954,-18942.3173250307
"27","30","NDVI+LAI","04",39691.8742409886,14010.7967964226,-19841.9371204943
"28","29","LAI alone","03",39703.7477101595,14022.6702655935,-19848.8738550797
"29","25","NDVI+NIRv","04",41801.8973368383,16120.8198922723,-20896.9486684191
"30","24","NDVI alone","03",42269.6513272156,16588.5738826496,-21131.8256636078
"31","27","NIRv alone","03",44392.9834537631,18711.9060091971,-22193.4917268815
