"Model Rank","Model Index","Model Name","# Parameters","AIC","Delta_AIC","Log-Likelihood"
"01","05","VOD+VARI+NDVI+NIRv+LAI","07",153150.16953589,0,-76568.0847679451
"02","08","VOD+VARI+NIRv+LAI","06",153258.607737934,108.438202043675,-76623.3038689669
"03","04","VOD+VARI+NDVI+NIRv","06",154246.576687328,1096.40715143827,-77117.2883436642
"04","07","VOD+VARI+NIRv","05",154412.235547438,1262.06601154778,-77201.117773719
"05","06","VOD+VARI+NDVI+LAI","06",154745.759119832,1595.5895839422,-77366.8795599162
"06","03","VOD+VARI+NDVI","05",155145.421893318,1995.25235742831,-77567.7109466592
"07","13","VOD+NDVI+NIRv+LAI","06",155264.330063912,2114.16052802134,-77626.1650319558
"08","15","VOD+NIRv+LAI","05",155359.707927393,2209.53839150307,-77674.8539636966
"09","09","VOD+VARI+LAI","05",156598.340770464,3448.17123457397,-78294.1703852321
"10","02","VOD+VARI","04",157262.685313058,4112.5157771676,-78627.3426565289
"11","20","VARI+NDVI+NIRv+LAI","06",157456.779431501,4306.60989561115,-78722.3897157507
"12","22","VARI+NIRv+LAI","05",157491.355545198,4341.186009308,-78740.6777725991
"13","31","VARI+NDVI+LAI","05",158238.293928028,5088.1243921378,-79114.146964014
"14","19","VARI+NDVI+NIRv","05",158507.813060041,5357.64352415121,-79248.9065300207
"15","21","VARI+NIRv","04",158577.332532843,5427.162996953,-79284.6662664216
"16","18","VARI+NDVI","04",158738.274830927,5588.10529503698,-79365.1374154636
"17","23","VARI+LAI","04",159154.181968619,6004.01243272913,-79573.0909843096
"18","12","VOD+NDVI+LAI","05",159455.555529585,6305.38599369529,-79722.7777647927
"19","17","VARI alone","03",159535.667273967,6385.49773807707,-79764.8336369836
"20","26","NDVI+NIRv+LAI","05",159653.795262606,6503.62572671584,-79821.897631303
"21","28","NIRv+LAI","04",159887.255099744,6737.08556385405,-79939.6275498721
"22","16","VOD+LAI","04",160216.100014764,7065.93047887392,-80104.050007382
"23","11","VOD+NDVI+NIRv","05",161787.354900732,8637.18536484198,-80888.6774503661
"24","30","NDVI+LAI","04",162454.561009298,9304.39147340826,-81223.2805046492
"25","10","VOD+NDVI","04",162615.834717833,9465.6651819429,-81303.9173589165
"26","14","VOD+NIRv","04",162683.104858784,9532.93532289384,-81337.552429392
"27","29","LAI alone","03",162714.00027749,9563.83074160002,-81354.0001387451
"28","01","VOD alone","03",162757.907404043,9607.73786815241,-81375.9537020213
"29","25","NDVI+NIRv","04",166385.662021,13235.4924851097,-83188.8310104999
"30","24","NDVI alone","03",166579.51302138,13429.3434854897,-83286.7565106899
"31","27","NIRv alone","03",167740.964329256,14590.7947933662,-83867.4821646282
