"Model Rank","Model Index","Model Name","# Parameters","AIC","Delta_AIC","Log-Likelihood"
"01","05","VOD+VARI+NDVI+NIRv+LAI","07",153311.513425369,0,-76648.7567126847
"02","08","VOD+VARI+NIRv+LAI","06",153448.184214411,136.670789042109,-76718.0921072057
"03","04","VOD+VARI+NDVI+NIRv","06",154451.170293062,1139.65686769315,-77219.5851465312
"04","07","VOD+VARI+NIRv","05",154654.61768907,1343.10426370101,-77322.3088445352
"05","06","VOD+VARI+NDVI+LAI","06",155000.466300829,1688.95287545992,-77494.2331504146
"06","03","VOD+VARI+NDVI","05",155398.17325251,2086.65982714022,-77694.0866262548
"07","13","VOD+NDVI+NIRv+LAI","06",155425.841214684,2114.32778931467,-77706.920607342
"08","15","VOD+NIRv+LAI","05",155494.756820317,2183.24339494813,-77742.3784101587
"09","09","VOD+VARI+LAI","05",156985.433456354,3673.920030985,-78487.7167281772
"10","20","VARI+NDVI+NIRv+LAI","06",157456.779431501,4145.26600613198,-78722.3897157507
"11","22","VARI+NIRv+LAI","05",157491.355545198,4179.84211982883,-78740.6777725991
"12","02","VOD+VARI","04",157647.114185874,4335.60076050455,-78819.5570929369
"13","31","VARI+NDVI+LAI","05",158238.293928028,4926.78050265863,-79114.146964014
"14","19","VARI+NDVI+NIRv","05",158507.813060041,5196.29963467203,-79248.9065300207
"15","21","VARI+NIRv","04",158577.332532843,5265.81910747383,-79284.6662664216
"16","18","VARI+NDVI","04",158738.274830927,5426.7614055578,-79365.1374154636
"17","23","VARI+LAI","04",159154.181968619,5842.66854324995,-79573.0909843096
"18","17","VARI alone","03",159535.667273967,6224.1538485979,-79764.8336369836
"19","26","NDVI+NIRv+LAI","05",159653.795262606,6342.28183723666,-79821.897631303
"20","12","VOD+NDVI+LAI","05",159769.096186181,6457.58276081158,-79879.5480930905
"21","28","NIRv+LAI","04",159887.255099744,6575.74167437488,-79939.6275498721
"22","16","VOD+LAI","04",160602.375285384,7290.86186001432,-80297.1876426918
"23","11","VOD+NDVI+NIRv","05",162129.769873983,8818.25644861403,-81059.8849369917
"24","30","NDVI+LAI","04",162454.561009298,9143.04758392909,-81223.2805046492
"25","29","LAI alone","03",162714.00027749,9402.48685212084,-81354.0001387451
"26","14","VOD+NIRv","04",162957.808378587,9646.29495321747,-81474.9041892934
"27","10","VOD+NDVI","04",162994.735937345,9683.22251197556,-81493.3679686724
"28","01","VOD alone","03",163087.650203721,9776.13677835136,-81540.8251018603
"29","25","NDVI+NIRv","04",166385.662021,13074.1485956305,-83188.8310104999
"30","24","NDVI alone","03",166579.51302138,13267.9995960105,-83286.7565106899
"31","27","NIRv alone","03",167740.964329256,14429.450903887,-83867.4821646282
