"Model Rank","Model Index","Model Name","# Parameters","AIC","Delta_AIC","Log-Likelihood"
"01","05","VOD+VARI+NDVI+NIRv+LAI","07",27862.7529991507,0,-13924.3764995753
"02","08","VOD+VARI+NIRv+LAI","06",27893.2524793554,30.4994802047331,-13940.6262396777
"03","04","VOD+VARI+NDVI+NIRv","06",28048.9065448367,186.153545686026,-14018.4532724183
"04","07","VOD+VARI+NIRv","05",28081.119487104,218.366487953383,-14035.559743552
"05","06","VOD+VARI+NDVI+LAI","06",29435.2395497738,1572.48655062311,-14711.6197748869
"06","09","VOD+VARI+LAI","05",30005.6135839167,2142.86058476601,-14997.8067919583
"07","03","VOD+VARI+NDVI","05",30055.4637388229,2192.71073967227,-15022.7318694115
"08","02","VOD+VARI","04",31284.8517007718,3422.09870162116,-15638.4258503859
"09","13","VOD+NDVI+NIRv+LAI","06",31719.3569000312,3856.60390088056,-15853.6784500156
"10","15","VOD+NIRv+LAI","05",32786.9676640785,4924.21466492784,-16388.4838320393
"11","20","VARI+NDVI+NIRv+LAI","06",33457.0816091414,5594.32860999074,-16722.5408045707
"12","22","VARI+NIRv+LAI","05",33514.0888750765,5651.33587592584,-16752.0444375383
"13","19","VARI+NDVI+NIRv","05",33670.7203277936,5807.96732864298,-16830.3601638968
"14","21","VARI+NIRv","04",33725.2502592424,5862.49726009172,-16858.6251296212
"15","31","VARI+NDVI+LAI","05",34091.2183246791,6228.46532552841,-17040.6091623395
"16","23","VARI+LAI","04",34207.2196319076,6344.46663275689,-17099.6098159538
"17","18","VARI+NDVI","04",34328.5569843255,6465.80398517483,-17160.2784921627
"18","17","VARI alone","03",34591.604449034,6728.85144988332,-17292.802224517
"19","12","VOD+NDVI+LAI","05",36513.8024129314,8651.0494137807,-18251.9012064657
"20","16","VOD+LAI","04",36551.7293406064,8688.97634145576,-18271.8646703032
"21","11","VOD+NDVI+NIRv","05",36623.8843287735,8761.13132962285,-18306.9421643868
"22","26","NDVI+NIRv+LAI","05",36979.3100182621,9116.55701911147,-18484.6550091311
"23","28","NIRv+LAI","04",38138.4874787098,10275.7344795591,-19065.2437393549
"24","10","VOD+NDVI","04",38210.4763653526,10347.7233662019,-19101.2381826763
"25","14","VOD+NIRv","04",38968.2516121953,11105.4986130446,-19480.1258060977
"26","01","VOD alone","03",38974.2604862256,11111.5074870749,-19484.1302431128
"27","30","NDVI+LAI","04",39978.9289047132,12116.1759055625,-19985.4644523566
"28","29","LAI alone","03",39991.8181338875,12129.0651347368,-19992.9090669437
"29","25","NDVI+NIRv","04",42043.2813282478,14180.5283290972,-21017.6406641239
"30","24","NDVI alone","03",42528.1041324453,14665.3511332947,-21261.0520662227
"31","27","NIRv alone","03",44666.9459754365,16804.1929762858,-22330.4729877182
