"Model Rank","Model Index","Model Name","# Parameters","AIC","Delta_AIC","Log-Likelihood"
"01","05","VOD+VARI+NDVI+NIRv+LAI","07",26665.3289822692,0,-13325.6644911346
"02","08","VOD+VARI+NIRv+LAI","06",26696.8083847329,31.4794024636867,-13342.4041923664
"03","04","VOD+VARI+NDVI+NIRv","06",26851.3003181114,185.97133584223,-13419.6501590557
"04","07","VOD+VARI+NIRv","05",26882.8485263861,217.519544116934,-13436.4242631931
"05","06","VOD+VARI+NDVI+LAI","06",28666.8033797238,2001.47439745457,-14327.4016898619
"06","03","VOD+VARI+NDVI","05",29380.0472431932,2714.71826092396,-14685.0236215966
"07","09","VOD+VARI+LAI","05",29404.2749806761,2738.94599840686,-14697.137490338
"08","13","VOD+NDVI+NIRv+LAI","06",30687.075207252,4021.74622498279,-15337.537603626
"09","02","VOD+VARI","04",30908.2278811718,4242.89889890261,-15450.1139405859
"10","15","VOD+NIRv+LAI","05",31791.2138936538,5125.88491138463,-15890.6069468269
"11","20","VARI+NDVI+NIRv+LAI","06",33457.0816091414,6791.75262687222,-16722.5408045707
"12","22","VARI+NIRv+LAI","05",33514.0888750765,6848.75989280732,-16752.0444375383
"13","19","VARI+NDVI+NIRv","05",33670.7203277936,7005.39134552446,-16830.3601638968
"14","21","VARI+NIRv","04",33725.2502592424,7059.92127697319,-16858.6251296212
"15","31","VARI+NDVI+LAI","05",34091.2183246791,7425.88934240989,-17040.6091623395
"16","23","VARI+LAI","04",34207.2196319076,7541.89064963837,-17099.6098159538
"17","18","VARI+NDVI","04",34328.5569843255,7663.2280020563,-17160.2784921627
"18","17","VARI alone","03",34591.604449034,7926.2754667648,-17292.802224517
"19","11","VOD+NDVI+NIRv","05",35881.0652954788,9215.73631320964,-17935.5326477394
"20","12","VOD+NDVI+LAI","05",36181.2840216796,9515.95503941037,-18085.6420108398
"21","16","VOD+LAI","04",36248.5771396665,9583.24815739729,-18120.2885698332
"22","26","NDVI+NIRv+LAI","05",36979.3100182621,10313.981035993,-18484.6550091311
"23","10","VOD+NDVI","04",37828.2647784275,11162.9357961583,-18910.1323892138
"24","28","NIRv+LAI","04",38138.4874787098,11473.1584964406,-19065.2437393549
"25","14","VOD+NIRv","04",38306.3558228218,11641.0268405526,-19149.1779114109
"26","01","VOD alone","03",38388.3199300455,11722.9909477763,-19191.1599650228
"27","30","NDVI+LAI","04",39978.9289047132,13313.599922444,-19985.4644523566
"28","29","LAI alone","03",39991.8181338875,13326.4891516183,-19992.9090669437
"29","25","NDVI+NIRv","04",42043.2813282478,15377.9523459787,-21017.6406641239
"30","24","NDVI alone","03",42528.1041324453,15862.7751501761,-21261.0520662227
"31","27","NIRv alone","03",44666.9459754365,18001.6169931673,-22330.4729877182
