"Model Rank","Model Index","Model Name","# Parameters","AIC","Delta_AIC","Log-Likelihood"
"01","05","VOD+VARI+NDVI+NIRv+LAI","07",154307.970217795,0,-77146.9851088977
"02","08","VOD+VARI+NIRv+LAI","06",154400.461060659,92.4908428635681,-77194.2305303295
"03","04","VOD+VARI+NDVI+NIRv","06",155406.572163068,1098.60194527259,-77697.286081534
"04","07","VOD+VARI+NIRv","05",155551.236627601,1243.26640980513,-77770.6183138003
"05","06","VOD+VARI+NDVI+LAI","06",155894.652752713,1586.68253491755,-77941.3263763565
"06","03","VOD+VARI+NDVI","05",156298.538618045,1990.56840024915,-78144.2693090223
"07","13","VOD+NDVI+NIRv+LAI","06",156488.100621458,2180.13040366245,-78238.050310729
"08","15","VOD+NIRv+LAI","05",156610.47637731,2302.50615951404,-78300.2381886548
"09","09","VOD+VARI+LAI","05",157656.663388538,3348.6931707428,-78823.3316942691
"10","02","VOD+VARI","04",158309.566112276,4001.59589448094,-79150.7830561382
"11","20","VARI+NDVI+NIRv+LAI","06",158313.055641944,4005.08542414889,-79150.5278209722
"12","22","VARI+NIRv+LAI","05",158348.902673285,4040.93245548964,-79169.4513366426
"13","31","VARI+NDVI+LAI","05",159108.161020397,4800.19080260195,-79549.0805101987
"14","19","VARI+NDVI+NIRv","05",159368.573417677,5060.60319988106,-79679.2867088383
"15","21","VARI+NIRv","04",159439.851179826,5131.88096203055,-79715.925589913
"16","18","VARI+NDVI","04",159605.580872289,5297.61065449304,-79798.7904361443
"17","23","VARI+LAI","04",160033.528699401,5725.55848160526,-80012.7643497004
"18","17","VARI alone","03",160417.238806087,6109.2685882911,-80205.6194030433
"19","26","NDVI+NIRv+LAI","05",160534.271268517,6226.3010507219,-80262.1356342587
"20","12","VOD+NDVI+LAI","05",160704.094861828,6396.12464403207,-80347.0474309138
"21","28","NIRv+LAI","04",160769.043147522,6461.07292972642,-80380.521573761
"22","16","VOD+LAI","04",161388.135488884,7080.16527108857,-80690.067744442
"23","11","VOD+NDVI+NIRv","05",163112.38183712,8804.41161932403,-81551.1909185598
"24","30","NDVI+LAI","04",163381.672864457,9073.70264666146,-81686.8364322285
"25","29","LAI alone","03",163640.352114979,9332.38189718386,-81817.1760574897
"26","10","VOD+NDVI","04",163923.912312139,9615.94209434398,-81957.9561560697
"27","14","VOD+NIRv","04",164112.754031335,9804.7838135396,-82052.3770156675
"28","01","VOD alone","03",164147.668314201,9839.69809640592,-82070.8341571007
"29","25","NDVI+NIRv","04",167304.181880489,12996.2116626931,-83648.0909402443
"30","24","NDVI alone","03",167502.185420549,13194.2152027531,-83748.0927102743
"31","27","NIRv alone","03",168671.139836814,14363.1696190184,-84332.569918407
