"Model Rank","Model Index","Model Name","# Parameters","AIC","Delta_AIC","Log-Likelihood"
"01","05","VOD+VARI+NDVI+NIRv+LAI","07",154357.416011863,0,-77171.7080059317
"02","08","VOD+VARI+NIRv+LAI","06",154447.207485403,89.7914735391096,-77217.6037427013
"03","04","VOD+VARI+NDVI+NIRv","06",155491.003295275,1133.58728341162,-77739.5016476375
"04","07","VOD+VARI+NIRv","05",155634.764960746,1277.34894888286,-77812.3824803732
"05","06","VOD+VARI+NDVI+LAI","06",156102.422320163,1745.00630829926,-78045.2111600814
"06","03","VOD+VARI+NDVI","05",156501.416111613,2144.00009974933,-78245.7080558064
"07","13","VOD+NDVI+NIRv+LAI","06",156525.946130121,2168.5301182571,-78256.9730650603
"08","15","VOD+NIRv+LAI","05",156650.395036241,2292.97902437719,-78320.1975181203
"09","09","VOD+VARI+LAI","05",157924.702467727,3567.28645586388,-78957.3512338637
"10","20","VARI+NDVI+NIRv+LAI","06",158313.055641944,3955.6396300809,-79150.5278209722
"11","22","VARI+NIRv+LAI","05",158348.902673285,3991.48666142166,-79169.4513366426
"12","02","VOD+VARI","04",158590.880195582,4233.46418371893,-79291.4400977912
"13","31","VARI+NDVI+LAI","05",159108.161020397,4750.74500853397,-79549.0805101987
"14","19","VARI+NDVI+NIRv","05",159368.573417677,5011.15740581308,-79679.2867088383
"15","21","VARI+NIRv","04",159439.851179826,5082.43516796257,-79715.925589913
"16","18","VARI+NDVI","04",159605.580872289,5248.16486042505,-79798.7904361443
"17","23","VARI+LAI","04",160033.528699401,5676.11268753727,-80012.7643497004
"18","17","VARI alone","03",160417.238806087,6059.82279422312,-80205.6194030433
"19","26","NDVI+NIRv+LAI","05",160534.271268517,6176.85525665391,-80262.1356342587
"20","28","NIRv+LAI","04",160769.043147522,6411.62713565843,-80380.521573761
"21","12","VOD+NDVI+LAI","05",160990.931200607,6633.51518874368,-80490.4656003036
"22","16","VOD+LAI","04",161695.183370037,7337.76735817344,-80843.5916850185
"23","11","VOD+NDVI+NIRv","05",163280.32063008,8922.90461821656,-81635.16031504
"24","30","NDVI+LAI","04",163381.672864457,9024.25685259348,-81686.8364322285
"25","29","LAI alone","03",163640.352114979,9282.93610311588,-81817.1760574897
"26","10","VOD+NDVI","04",164199.535668853,9842.11965698932,-82095.7678344264
"27","14","VOD+NIRv","04",164303.213283553,9945.79727168978,-82147.6066417766
"28","01","VOD alone","03",164379.817004507,10022.4009926433,-82186.9085022534
"29","25","NDVI+NIRv","04",167304.181880489,12946.7658686251,-83648.0909402443
"30","24","NDVI alone","03",167502.185420549,13144.7694086852,-83748.0927102743
"31","27","NIRv alone","03",168671.139836814,14313.7238249504,-84332.569918407
