"Model Rank","Model Index","Model Name","# Parameters","AIC","Delta_AIC","Log-Likelihood"
"01","05","VOD+VARI+NDVI+NIRv+LAI","07",26863.3280323138,0,-13424.6640161569
"02","08","VOD+VARI+NIRv+LAI","06",26883.1149050786,19.7868727648092,-13435.5574525393
"03","04","VOD+VARI+NDVI+NIRv","06",27040.931273849,177.60324153522,-13514.4656369245
"04","07","VOD+VARI+NIRv","05",27061.4408314549,198.112799141043,-13525.7204157274
"05","06","VOD+VARI+NDVI+LAI","06",28507.2819848406,1643.95395252676,-14247.6409924203
"06","03","VOD+VARI+NDVI","05",29135.6040321296,2272.27599981583,-14562.8020160648
"07","09","VOD+VARI+LAI","05",29176.3983681414,2313.07033582756,-14583.1991840707
"08","02","VOD+VARI","04",30528.9166745586,3665.58864224475,-15260.4583372793
"09","13","VOD+NDVI+NIRv+LAI","06",30694.1414691232,3830.81343680934,-15341.0707345616
"10","15","VOD+NIRv+LAI","05",31680.4934283866,4817.16539607282,-15835.2467141933
"11","20","VARI+NDVI+NIRv+LAI","06",33275.4257848116,6412.09775249781,-16631.7128924058
"12","22","VARI+NIRv+LAI","05",33331.494567524,6468.16653521016,-16660.747283762
"13","19","VARI+NDVI+NIRv","05",33491.1533712838,6627.82533896999,-16740.5766856419
"14","21","VARI+NIRv","04",33544.3177649472,6680.98973263341,-16768.1588824736
"15","31","VARI+NDVI+LAI","05",33894.4716156404,7031.14358332662,-16942.2358078202
"16","23","VARI+LAI","04",34009.0855295129,7145.75749719904,-17000.5427647564
"17","18","VARI+NDVI","04",34122.0264025806,7258.69837026674,-17057.0132012903
"18","17","VARI alone","03",34374.8258159298,7511.49778361599,-17184.4129079649
"19","11","VOD+NDVI+NIRv","05",35562.4061016163,8699.07806930249,-17776.2030508082
"20","12","VOD+NDVI+LAI","05",35578.2443504823,8714.91631816848,-17784.1221752412
"21","16","VOD+LAI","04",35645.1860218627,8781.85798954883,-17818.5930109313
"22","26","NDVI+NIRv+LAI","05",36750.9983715016,9887.67033918775,-18370.4991857508
"23","10","VOD+NDVI","04",37223.8859793396,10360.5579470258,-18607.9429896698
"24","14","VOD+NIRv","04",37754.6737760056,10891.3457436918,-18873.3368880028
"25","01","VOD alone","03",37795.1485850138,10931.8205527,-18894.5742925069
"26","28","NIRv+LAI","04",37892.6346500615,11029.3066177476,-18942.3173250307
"27","30","NDVI+LAI","04",39691.8742409886,12828.5462086748,-19841.9371204943
"28","29","LAI alone","03",39703.7477101595,12840.4196778457,-19848.8738550797
"29","25","NDVI+NIRv","04",41801.8973368383,14938.5693045245,-20896.9486684191
"30","24","NDVI alone","03",42269.6513272156,15406.3232949018,-21131.8256636078
"31","27","NIRv alone","03",44392.9834537631,17529.6554214493,-22193.4917268815
