"Model","VOD","VARI","NDVI","NIRv","LAI"
"VOD+VARI",1.278,1.278,NA,NA,NA
"VOD+NDVI",1.323,NA,1.323,NA,NA
"VOD+NIRv",1.331,NA,NA,1.331,NA
"VOD+LAI",1.351,NA,NA,NA,1.351
"VARI+NDVI",NA,1.968,1.968,NA,NA
"VARI+NIRv",NA,1.484,NA,1.484,NA
"VARI+LAI",NA,3.391,NA,NA,3.391
"NDVI+NIRv",NA,NA,3.188,3.188,NA
"NDVI+LAI",NA,NA,2.435,NA,2.435
"NIRv+LAI",NA,NA,NA,2.78,2.78
"VOD+VARI+NDVI",1.374,2.044,2.117,NA,NA
"VOD+VARI+NIRv",1.423,1.587,NA,1.653,NA
"VOD+VARI+LAI",1.359,3.796,NA,NA,3.187
"VOD+NDVI+NIRv",1.369,NA,3.279,3.299,NA
"VOD+NDVI+LAI",1.397,NA,2.519,NA,2.579
"VOD+NIRv+LAI",1.392,NA,NA,2.866,2.915
"VARI+NDVI+NIRv",NA,1.969,4.23,3.19,NA
"VARI+NDVI+LAI",NA,3.508,2.519,NA,4.259
"VARI+NIRv+LAI",NA,3.721,NA,3.051,6.925
"NDVI+NIRv+LAI",NA,NA,3.471,3.964,3.094
"VOD+VARI+NDVI+NIRv",1.427,2.052,4.24,3.312,NA
"VOD+VARI+NDVI+LAI",1.4,3.516,2.595,NA,4.358
"VOD+VARI+NIRv+LAI",1.42,3.796,NA,3.187,6.932
"VOD+NDVI+NIRv+LAI",1.408,NA,3.511,3.995,3.189
"VARI+NDVI+NIRv+LAI",NA,4.572,4.265,5.166,7.05
"VOD+VARI+NDVI+NIRv+LAI",1.424,4.623,4.276,5.252,7.06
