"Year","Fire ID","Name","Area [ha]","nPixels","Region","Data Source","CentroidLAT","CentroidLON"
2009,"2009-AKFAS-911320","Minto Flats South",216471,7,"AK","NIFC",64.58132062,-149.68412227
2010,"2010-AKTAD-000899","Toklat 2",76407.6,2,"AK","NIFC",64.2541837,-150.84583108
2009,"2009-AKTAD-000420","Titna River",65694.3,1,"AK","NIFC",64.36498845,-152.5873693
2009,"2009-AKUYD-000314","Little Black One",142356,4,"AK","NIFC",66.13367881,-143.47959081
2009,"2009-AKUYD-000458","Big Creek",68650.4,2,"AK","NIFC",66.04522293,-146.5875047
2006,"SK-2006-C65008","06LL-MURZIN",202625,6,"CA","CNFDB",57.91282659,-109.66940113
2006,"SK-2006-C62017","06BN-DEBBIE",136951,2,"CA","CNFDB",57.99134936,-108.40658921
2006,"SK-2006-L64009","06SR-SUPPER",81021,3,"CA","CNFDB",59.09559417,-107.59886141
2006,"SK-2006-L64008","06SR-ROYAL",94031.8,2,"CA","CNFDB",58.98630687,-108.85315843
2007,"SK-2007-C72012","07BN-ELMER",77536.3,1,"CA","CNFDB",57.47602605,-105.79494613
2008,"SK-2008-C85015","08LL-SID",70754,1,"CA","CNFDB",58.47151515,-108.92990702
2008,"SK-2008-L81012","08LA-ZBAR",63172.1,2,"CA","CNFDB",55.84731815,-105.28375452
2008,"SK-2008-L84030","08SR-CREEK",131602,4,"CA","CNFDB",59.04769016,-104.63864731
2010,"SK-2010-C101005","10LX-GIRARD02",117742,3,"CA","CNFDB",56.97447556,-107.1636842
2010,"SK-2010-C102009","10BN-GARRET",108394,2,"CA","CNFDB",58.17705818,-107.27627585
2010,"SK-2010-L104008","10SR-RYAN",197680,5,"CA","CNFDB",58.94811806,-106.75229904
2010,"SK-2010-L101005","10LA-KAUN",109348,3,"CA","CNFDB",56.74602711,-105.21441072
2010,"SK-2010-L104004","10SR-PASFIELD",469631,13,"CA","CNFDB",58.66579836,-105.53283006
2010,"SK-2010-L103004","10SE-BOTHWELL2",109163,3,"CA","CNFDB",57.02091855,-103.37589552
2007,"NT-2007-VQ001-07","NA",76364.6,1,"CA","CNFDB",65.26034987,-127.88501919
2008,"L84013","08SR-VIKING",79076.4,1,"CA","CNFDB",59.72730632,-108.14727423
2006,"L64004","06SR-NOEL",65399.8,2,"CA","CNFDB",59.35389453,-106.10309203
2008,"L83011","08SE-WILLIS",65858.1,1,"CA","CNFDB",57.7659741,-104.60017707
